,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Bose,0,IT,1575040227,71,45.46,8.01,55.4,3.36
376,Mizan Teferi,19,ET,1575040228,92,6.99,35.58,67.5,0.87
377,Marzuq,96,YE,1575040230,22,14.4,46.47,70.23,10.27
378,Bubaque,0,GW,1575040175,53,11.28,-15.83,84.29,6.38
379,Coihaique,75,CL,1575040232,71,-45.58,-72.07,51.8,8.05
380,Robertsport,49,LR,1575040233,72,6.75,-11.37,82.96,6.46
381,Santa Cruz,4,BR,1575040234,33,-6.22,-36.02,93.96,10.49
382,Khash,0,IR,1575040236,30,28.22,61.21,56.05,3.76
383,Jammalamadugu,8,IN,1575040237,79,14.85,78.38,73.83,5.82
384,Kudahuvadhoo,100,MV,1575040238,78,2.67,72.89,80.56,2.28
385,Lokoja,0,NG,1575040239,21,7.8,6.74,94.37,3.62
386,Kandalaksha,100,RU,1575040241,99,67.15,32.41,34.59,10.8
387,Okha,100,RU,1575040242,91,53.59,142.95,16.83,19.48
388,Miraflores,98,PE,1575040243,22,-16.39,-71.52,66.2,6.93
389,Cayenne,40,GF,1575040244,66,4.94,-52.33,87.8,6.93
390,Suntar,92,RU,1575040245,88,62.16,117.65,7.27,7.49
391,Diphu,0,IN,1575040247,97,25.84,93.44,64.44,0.74
392,Pemba,75,MZ,1575040248,74,-12.97,40.52,86.0,10.29
393,Corning,100,US,1575040249,74,42.14,-77.05,30.2,5.82
394,Orocue,61,CO,1575040250,61,4.79,-71.34,86.88,9.4
395,Dingle,71,PH,1575040251,89,11.0,122.67,74.08,12.21
396,Olinda,75,AU,1575040253,100,-37.84,145.39,55.0,5.82
397,Axim,51,GH,1575040254,62,4.87,-2.24,87.44,8.01
398,Snyder,90,US,1575040255,100,32.72,-100.92,44.6,6.93
399,Chara,20,GR,1575040256,45,39.42,22.43,68.0,9.17
400,Windhoek,40,NA,1575040257,22,-22.57,17.08,86.0,12.75
401,Havoysund,75,NO,1575040258,92,71.0,24.66,30.2,21.92
402,Thomasville,40,US,1575039996,53,35.88,-80.08,51.01,1.14
403,Shelburne,90,CA,1575040223,85,44.08,-80.2,28.0,4.7
404,Thayetmyo,0,MM,1575040262,79,19.32,95.18,73.72,2.15
405,Draguignan,0,FR,1575040263,31,43.54,6.46,66.2,18.34
406,Nantucket,1,US,1575040264,64,41.28,-70.1,41.0,18.34
407,Concarneau,75,FR,1575040266,81,47.88,-3.92,55.99,3.36
408,Muhos,90,FI,1575040267,92,64.81,26.0,21.2,8.05
409,Vanavara,100,RU,1575040268,92,60.35,102.28,5.56,10.6
410,Esperance,90,AU,1575040269,62,-33.86,121.89,55.4,10.29
411,Namibe,75,AO,1575040270,74,-15.19,12.15,78.8,11.41
412,Kulhudhuffushi,100,MV,1575040271,78,6.62,73.07,80.62,8.08
413,Myitkyina,0,MM,1575040273,74,25.38,97.4,64.85,3.02
414,Tazovskiy,0,RU,1575040274,96,67.47,78.7,-15.34,7.76
415,Mangrol,5,IN,1575040222,64,25.33,76.51,70.99,10.87
416,Aliwal North,99,ZA,1575040276,19,-30.69,26.71,88.05,22.3
417,Belidzhi,0,RU,1575040278,75,41.87,48.39,51.31,0.6
418,Srandakan,66,ID,1575040279,82,-7.94,110.25,78.44,9.24
419,Peace River,5,CA,1575040280,78,56.23,-117.29,8.6,8.05
420,Chapleau,75,CA,1575040281,92,47.85,-83.4,14.0,4.7
421,Coahuayana,0,MX,1575040282,60,18.62,-100.35,75.79,0.81
422,Upington,20,ZA,1575040284,8,-28.46,21.24,105.8,12.75
423,Kiunga,66,PG,1575040285,81,-6.12,141.3,76.37,2.28
424,Cururupu,0,BR,1575040286,43,-1.82,-44.87,93.76,7.45
425,Cabo San Lucas,40,MX,1575039990,78,22.89,-109.91,73.99,9.17
426,Yulara,32,AU,1575040289,26,-25.24,130.99,82.4,17.22
427,Nkowakowa,0,ZA,1575040290,20,-23.89,30.29,84.2,10.29
428,Bara,74,NG,1575040291,13,10.41,10.6,93.97,11.59
429,Shasta Lake,90,US,1575040292,92,40.68,-122.36,39.2,1.61
430,Siauliai,20,LT,1575040293,93,55.93,23.32,41.0,11.41
431,Ammon,90,US,1575040003,92,43.47,-111.97,28.4,9.17
432,Itoman,75,JP,1575040296,56,26.12,127.67,68.0,16.11
433,Bakchar,90,RU,1575040297,97,57.02,82.07,7.03,4.61
434,Lufilufi,97,WS,1575040298,64,-13.87,-171.6,78.71,7.63
435,Mizdah,47,LY,1575040299,36,31.45,12.98,67.64,1.81
436,Loandjili,20,CG,1575040300,70,-4.77,11.87,86.0,14.99
437,San Vicente,40,EC,1575040302,83,-0.59,-80.41,78.8,9.17
438,Buzhakan,90,AM,1575040303,86,40.45,44.52,41.0,4.47
439,Ketchikan,1,US,1575040304,92,55.34,-131.65,33.8,3.36
440,Katsuura,40,JP,1575040305,65,33.93,134.5,46.4,6.93
441,Hoa Binh,43,VN,1575040306,73,20.81,105.34,69.8,6.93
442,Grindavik,75,IS,1575040307,64,63.84,-22.43,33.8,11.41
443,Lovozero,100,RU,1575040309,98,68.01,35.02,33.76,5.32
444,Hayden,1,US,1575040310,61,47.77,-116.79,21.0,12.75
445,Bondoukou,7,CI,1575040311,22,8.04,-2.8,94.23,7.9
446,Saint-Jovite,20,CA,1575040042,73,46.12,-74.6,28.0,4.7
447,Seoul,40,KR,1575040024,63,37.57,126.98,32.0,4.7
448,Wajir,75,KE,1575040314,62,1.75,40.07,87.8,3.36
449,Khandyga,100,RU,1575040316,97,62.65,135.58,-27.76,2.17
450,Quatre Cocos,20,MU,1575040317,74,-20.21,57.76,82.4,3.36
451,Gari,100,RU,1575040318,84,59.43,62.35,23.59,12.24
452,Thana,0,PK,1575040319,26,34.64,72.07,55.76,4.88
453,Guerrero Negro,100,MX,1575040320,78,27.97,-114.04,64.27,15.99
454,Paamiut,89,GL,1575040322,43,61.99,-49.67,29.44,8.52
455,Karatau,0,KZ,1575040323,73,43.18,70.46,11.46,3.2
456,Troitskoye,100,RU,1575040324,94,52.98,84.68,14.18,9.66
457,Matipo,100,BR,1575040325,96,-20.28,-42.34,69.62,2.59
458,Sechura,0,PE,1575040326,84,-5.56,-80.82,68.36,6.38
459,Balabac,55,PH,1575040328,79,7.99,117.06,82.09,15.95
460,Mezhdurechensk,100,RU,1575040329,94,53.69,88.07,12.72,6.29
461,Goroka,69,PG,1575040330,97,-6.07,145.39,60.75,1.23
462,Tailai,100,CN,1575040331,43,46.39,123.41,13.33,8.43
463,Akureyri,40,IS,1575040332,79,65.68,-18.09,28.4,13.87
464,Trinidad,20,BO,1575040334,78,-14.83,-64.9,82.4,3.36
465,Oktyabrskiy,90,RU,1575040335,92,55.61,37.97,39.0,13.42
466,Port Shepstone,100,ZA,1575040336,52,-30.74,30.45,85.68,9.82
467,Vanimo,99,PG,1575040337,80,-2.67,141.3,82.83,11.43
468,Suluq,37,LY,1575040338,40,31.67,20.25,69.46,6.58
469,Dombarovskiy,5,RU,1575040339,75,50.76,59.54,16.21,9.01
470,San Cristobal,67,HN,1575040341,71,14.68,-86.92,72.82,3.98
471,Namtsy,100,RU,1575040342,75,62.72,129.66,-20.2,6.71
472,Ardmore,90,US,1575040343,70,34.99,-86.85,51.01,3.36
473,Samarai,30,PG,1575040344,92,-10.62,150.67,75.18,2.98
474,Merke,0,KZ,1575040345,68,42.87,73.19,10.9,3.96
475,Pontianak,80,ID,1575040347,95,-0.02,109.34,76.1,0.89
476,Lixourion,40,GR,1575040348,68,38.2,20.43,66.2,9.17
477,Port-Gentil,40,GA,1575040343,79,-0.72,8.78,86.0,12.75
478,Kungurtug,80,RU,1575040350,78,50.6,97.53,-6.16,3.85
479,Hobyo,91,SO,1575040351,66,5.35,48.53,80.56,12.3
480,Aklavik,90,CA,1575040181,79,68.22,-135.01,24.8,8.05
481,Altay,35,CN,1575040354,46,47.83,88.13,-2.76,2.64
482,Tagusao,99,PH,1575040355,89,9.19,117.81,76.46,6.85
483,Kitimat,5,CA,1575040356,73,54.02,-128.69,19.4,16.11
484,Tarabuco,78,BO,1575040357,48,-19.18,-64.92,64.4,6.89
485,Nova Vicosa,100,BR,1575040358,68,-17.89,-39.37,84.6,13.58
486,Mahabad,12,IR,1575040360,55,36.77,45.72,48.0,8.46
487,Candolim,75,IN,1575040361,74,15.52,73.76,84.2,6.93
488,Azare,55,NG,1575040362,12,11.67,10.19,93.6,11.14
489,Sibu,90,MY,1575040363,94,2.29,111.83,77.0,3.36
490,Gamba,0,CN,1575040364,56,28.28,88.52,18.55,4.5
491,Bon Air,1,US,1575040366,52,37.52,-77.56,46.99,6.93
492,Xinyu,53,CN,1575040367,58,27.8,114.93,49.03,3.62
493,Maymyo,20,MM,1575040368,78,22.03,96.47,71.6,2.24
494,Pandharpur,99,IN,1575040369,52,17.68,75.33,81.39,6.26
495,Brezno,75,SK,1575040370,87,48.81,19.64,46.99,6.93
496,Maceio,20,BR,1575040258,55,-9.67,-35.74,87.8,11.41
497,Keetmanshoop,20,NA,1575040373,9,-26.57,18.15,102.2,9.17
498,Fredericton,1,CA,1575040301,73,45.97,-66.65,32.0,19.46
499,Almaznyy,75,RU,1575040375,100,48.03,40.04,46.4,15.66
500,Topolobampo,90,MX,1575040377,78,25.6,-109.05,71.6,2.24
501,Novobirilyussy,100,RU,1575040378,91,56.95,90.69,9.93,8.88
502,Nakhon Phanom,0,LA,1575040379,83,17.4,104.79,65.55,4.54
503,Haysyn,97,UA,1575040380,94,48.81,29.39,42.85,5.17
504,Pilar,0,AR,1575040381,37,-34.46,-58.91,87.01,16.11
505,Torres,0,BR,1575040382,68,-29.34,-49.73,70.03,22.57
506,Deniliquin,40,AU,1575040384,64,-35.53,144.96,63.0,5.01
507,Powell,90,US,1575040387,69,40.16,-83.08,39.0,4.7
508,Andros Town,0,BS,1575040388,73,24.73,-77.79,75.99,7.0
509,Victoria,75,BN,1575040390,79,5.28,115.24,84.2,4.7
510,Ilulissat,90,GL,1575040391,79,69.22,-51.1,26.6,10.29
511,Noyabrsk,40,RU,1575040392,75,63.2,75.45,-12.55,7.31
512,Nawalapitiya,95,LK,1575040394,94,7.06,80.53,69.48,2.33
513,Sirjan,0,IR,1575040395,38,29.44,55.67,54.72,6.58
514,Manzhouli,100,CN,1575040396,95,49.6,117.43,0.12,4.72
515,Kasangulu,75,CD,1575040397,55,-4.59,15.17,89.6,11.41
516,Umm Kaddadah,5,SD,1575040399,11,13.6,26.69,82.6,15.75
517,Alexandria,85,RO,1575040142,76,43.97,25.33,55.0,3.0
518,Portland,20,US,1575040163,55,43.66,-70.25,37.99,20.8
519,Yinchuan,58,CN,1575040402,41,38.48,106.21,26.37,6.91
520,Pinheiro Machado,0,BR,1575040403,55,-31.58,-53.38,78.19,9.28
521,Shangqiu,99,CN,1575040404,52,34.42,115.65,43.32,5.73
522,Santo Antonio do Ica,100,BR,1575040406,59,-3.1,-67.94,90.55,0.69
523,Goma,89,CD,1575040407,95,-1.67,29.23,63.46,0.43
524,Toamasina,75,MG,1575040410,74,-18.17,49.38,82.4,9.17
525,Honolulu,40,US,1575040320,61,21.3,-157.86,77.0,10.29
526,Nuuk,90,GL,1575040413,73,64.17,-51.74,26.6,8.05
527,Mirabad,0,IR,1575040414,25,28.27,61.33,51.82,2.68
528,Kuching,75,MY,1575040416,94,1.56,110.34,77.0,3.36
529,Tura,100,RU,1575040418,89,64.27,100.22,-0.8,8.1
530,Serra,90,BR,1575040419,94,-20.13,-40.31,77.0,9.17
531,Heanor,0,GB,1575040420,80,53.01,-1.36,44.01,4.7
532,Champasak,61,LA,1575040421,81,14.89,105.88,70.66,1.43
533,Bria,0,CF,1575040423,26,6.54,21.99,91.08,3.67
534,Rio Gallegos,40,AR,1575040425,57,-51.62,-69.22,50.0,19.46
535,Eldoret,75,KE,1575040426,64,0.52,35.27,69.8,2.24
536,Puksoozero,100,RU,1575040427,95,62.59,40.61,34.81,10.51
537,Clonakilty,75,IE,1575040428,81,51.62,-8.87,48.0,11.41
